pid,lot_frontage,lot_area,has_alley,is_lot_shape_regluar,is_land_countour_hls,is_land_slope_mod,overall_qual,mas_vnr_area,exter_qual_Ex_Gd,bsmt_qual_Ex_Gd,bsmt_cond_is_TA_Gd_Ex,has_bsmt_exposure,bsmt_unf_sf,total_bsmt_sf,is_heating_qc_Ex,has_central_air,electrical_is_SBrkr,1st_flr_sf,2nd_flr_sf,gr_liv_area,full_bath,bedroom_abvgr,kitchen_qual_Ex_Gd,totrms_abvgrd,is_functional,has_fireplace,fireplace_qu_Ex_Gd,garage_type_Attchd_BuiltIn,garage_cars,garage_area,garage_qual_Ex_Gd_TA,garage_cond_Ex_Gd_TA,is_fully_paved_drive,has_fence,has_misc_feature,saleprice,ms_subclass_group_1,ms_subclass_group_2,ms_zoning_RL,ms_zoning_FV,lot_config_Inside,lot_config_Corner,neighborhood_group_1,neighborhood_group_2,neighborhood_group_3,bldg_type_1Fam,bldg_type_TwnhsE,house_style_2Story,house_style_1Story,home_age,home_has_remodel,mas_vnr_type_Stone,mas_vnr_type_BrkFace,has_basement,roof_style_Gable,roof_style_Hip,exterior_has_VinylSd,exterior_has_MetalSd,exterior_has_HdBoard,exterior_has_Wd_Sdng,exterior_has_Plywood,foundation_PConc,foundation_CBlock,bsmt_GLQ_sf,bsmt_ALQ_sf,bsmt_BLQ_sf,bsmt_LwQ_sf,bsmt_Rec_sf,has_2nd_flr,total_full_baths,total_baths,garage_new_2006,has_garage,garage_finish_RFn,garage_finish_Unf,garage_finish_Fin,all_porch_sf,has_porch,sold_premium_month,yr_sold_2006,yr_sold_2007,yr_sold_2008,yr_sold_2009,sale_type_WD,sale_type_New
527451290,21.0,1680,0,1,0,0,6,232.0,0,0,1,0,96.0,483.0,0,1,1,483,504,987,1,2,0,4,1,0,0,0,1.0,264.0,1,1,1,1,1,85400,1,0,0,0,1,0,1,0,0,0,0,1,0,39,1,0,1,1,1,0,0,0,1,0,0,0,1,0.0,387.0,0.0,0.0,0.0,1,1.0,2.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
906380150,64.0,7488,0,0,0,0,7,0.0,1,1,1,1,815.0,1208.0,1,1,1,1208,0,1208,2,2,1,6,1,0,0,1,2.0,632.0,1,1,1,1,1,183600,0,1,1,0,1,0,0,1,0,1,0,0,1,5,1,0,0,1,1,0,1,0,0,0,0,1,0,393.0,0.0,0.0,0.0,0.0,0,2.0,2.0,0,1,1,0,0,163,1,0,1,0,0,0,0,0
906226060,120.0,26400,0,1,0,0,5,0.0,1,0,0,0,0.0,0.0,1,1,1,1288,728,2016,1,4,0,7,0,1,0,1,2.0,576.0,1,1,0,1,1,131000,1,0,1,0,0,0,0,1,0,1,0,1,0,130,0,0,0,0,1,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
533236070,24.0,2645,1,1,0,0,8,456.0,1,1,1,0,147.0,960.0,1,1,1,962,645,1607,2,3,1,7,1,0,0,0,2.0,480.0,1,1,1,1,1,200000,1,0,0,1,1,0,0,1,0,0,0,1,0,11,0,0,1,1,1,0,0,1,0,0,0,1,0,813.0,0.0,0.0,0.0,0.0,1,3.0,4.0,0,1,0,1,0,169,1,1,0,0,1,0,0,0
907418040,74.0,9627,0,1,0,0,7,0.0,1,1,1,1,1327.0,1351.0,1,1,1,1361,0,1361,2,3,1,6,1,0,0,1,2.0,610.0,1,1,1,1,1,193000,0,1,1,0,1,0,0,1,0,1,0,0,1,3,1,0,0,1,1,0,1,0,0,0,0,1,0,24.0,0.0,0.0,0.0,0.0,0,2.0,2.0,1,1,1,0,0,50,1,1,0,0,1,0,0,0
923202105,93.0,10114,0,1,0,0,5,0.0,0,1,1,1,1430.0,1430.0,1,1,1,1430,0,1430,2,3,1,7,1,0,0,1,2.0,624.0,1,1,1,1,1,173500,0,1,1,0,1,0,1,0,0,1,0,0,1,6,0,0,0,1,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
902301140,34.0,4571,1,1,0,0,5,0.0,0,0,1,0,624.0,624.0,0,0,1,624,720,1344,1,4,0,7,1,0,0,0,3.0,513.0,0,0,1,1,1,98000,1,0,0,0,1,0,1,0,0,1,0,1,0,94,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0,1,0,1,0,96,1,0,0,0,1,0,0,0
905101490,80.0,8816,0,1,0,0,5,0.0,0,0,1,0,470.0,1121.0,0,1,1,1121,0,1121,1,3,0,5,1,0,0,0,2.0,480.0,1,1,1,0,1,139000,0,1,1,0,0,1,1,0,0,1,0,0,1,47,1,0,0,1,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,651.0,0,2.0,2.0,0,1,0,1,0,80,1,1,0,0,0,1,0,0
905107140,71.0,8197,0,1,0,0,6,148.0,0,0,1,0,660.0,660.0,1,1,1,1285,0,1285,1,3,0,7,1,1,0,1,2.0,528.0,1,1,1,0,1,143500,0,1,1,0,1,0,1,0,0,1,0,0,1,33,1,0,1,1,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0,0,1,1,0,0,138,1,0,0,1,0,0,0,0
528458070,72.0,8640,0,1,0,0,7,0.0,0,1,1,1,732.0,756.0,1,1,1,764,783,1547,2,3,1,7,1,0,0,1,2.0,614.0,1,1,1,1,1,215200,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,24.0,0.0,0.0,0.0,0.0,1,2.0,3.0,1,1,0,1,0,214,1,1,0,0,0,0,0,0
905106150,109.0,8724,0,1,0,0,5,0.0,0,1,1,0,402.0,894.0,0,1,1,894,0,894,1,3,0,5,1,1,0,1,2.0,450.0,1,1,1,1,1,129000,0,1,1,0,1,0,1,0,0,1,0,0,1,42,1,0,0,1,1,0,1,0,0,0,0,0,1,0.0,0.0,492.0,0.0,0.0,0,1.0,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
527131030,40.0,5664,0,0,0,0,8,0.0,1,1,1,0,343.0,1501.0,1,1,1,1659,0,1659,2,2,1,5,1,1,1,1,2.0,499.0,1,1,1,1,1,278000,0,1,1,0,1,0,0,0,1,0,1,0,1,10,1,0,0,1,1,0,0,0,0,0,0,1,0,1158.0,0.0,0.0,0.0,0.0,0,3.0,3.0,0,1,0,0,1,271,1,0,0,0,0,1,0,0
528142010,103.0,12867,0,0,0,0,8,0.0,1,1,1,1,1209.0,1209.0,1,1,1,1209,1044,2253,2,3,1,8,1,1,1,1,2.0,575.0,1,1,1,1,1,344133,0,1,1,0,0,1,0,0,1,1,0,1,0,5,0,0,0,1,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,2.0,3.0,0,1,0,0,1,385,1,1,1,0,0,0,0,1
527165230,69.05520046484602,7980,0,0,0,0,6,0.0,0,1,1,0,233.0,1168.0,1,1,1,1187,0,1187,2,3,0,6,1,0,0,1,2.0,420.0,1,1,1,0,0,185000,0,1,1,0,1,0,0,1,0,1,0,0,1,18,0,0,0,1,1,0,0,0,1,0,0,1,0,0.0,935.0,0.0,0.0,0.0,0,3.0,3.0,0,1,0,0,1,504,1,0,0,0,0,0,0,0
527250040,100.0,34650,0,1,0,0,5,0.0,0,0,1,1,0.0,1056.0,0,0,1,1056,0,1056,1,3,0,5,1,0,0,1,2.0,572.0,1,1,1,1,1,145000,1,0,1,0,1,0,0,1,0,0,0,0,1,55,1,0,0,1,0,1,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,1056.0,0,2.0,2.0,0,1,0,0,1,264,1,1,1,0,0,0,0,0
535104120,92.0,10573,0,0,0,0,6,3.0,0,0,1,0,141.0,1453.0,1,1,1,1453,0,1453,2,3,0,6,1,1,0,1,2.0,530.0,1,1,1,0,1,187500,0,1,1,0,0,1,1,0,0,1,0,0,1,49,1,0,1,1,0,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1312.0,0,3.0,3.0,0,1,1,0,0,337,1,0,0,0,0,1,0,0
532376160,65.0,8450,0,1,0,0,5,0.0,0,0,1,0,224.0,894.0,1,1,1,894,0,894,1,3,0,5,1,1,1,0,1.0,336.0,1,1,1,0,1,138500,0,1,1,0,1,0,1,0,0,1,0,0,1,45,0,0,0,1,1,0,0,1,0,0,0,0,1,553.0,0.0,117.0,0.0,0.0,0,2.0,2.0,0,1,0,1,0,560,1,0,0,0,0,0,0,0
909277040,69.05520046484602,11700,1,0,1,1,5,0.0,0,0,1,0,336.0,942.0,1,1,1,1265,673,1938,2,4,1,7,0,1,1,0,1.0,240.0,1,1,1,1,1,198000,1,0,1,0,1,0,0,1,0,1,0,0,0,73,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0,0.0,606.0,0.0,0.0,1,2.0,2.0,0,1,0,1,0,40,1,1,0,0,1,0,0,0
911103060,75.0,8250,0,1,0,0,5,0.0,0,0,1,0,957.0,957.0,0,0,1,1034,957,1991,2,4,0,9,1,0,0,0,0.0,0.0,0,0,0,1,1,119600,1,0,0,0,1,0,0,0,0,0,0,1,0,115,0,0,0,1,1,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,0,0,0,0,0,133,1,1,0,1,0,0,0,0
535450190,60.0,8064,0,1,0,0,5,0.0,0,0,1,1,672.0,672.0,1,1,1,672,252,924,1,3,0,6,1,1,0,0,2.0,576.0,1,1,1,0,0,122900,1,0,1,0,0,1,1,0,0,1,0,0,0,61,0,0,0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
527355150,80.0,9600,0,1,0,0,8,0.0,1,1,1,0,1420.0,2524.0,0,1,1,2524,0,2524,2,4,1,9,1,1,1,1,2.0,542.0,1,1,1,0,1,278000,0,1,1,0,1,0,0,1,0,1,0,0,1,29,1,0,0,1,0,1,0,0,0,0,0,1,0,0.0,1104.0,0.0,0.0,0.0,0,3.0,4.0,0,1,0,0,1,594,1,1,0,0,0,1,0,0
909276010,69.05520046484602,11435,0,0,1,1,8,0.0,0,1,1,0,792.0,792.0,0,1,1,792,725,1517,1,3,1,7,1,1,1,0,2.0,400.0,1,1,1,1,1,230000,1,0,1,0,0,1,0,1,0,1,0,1,0,81,0,0,0,1,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
533250130,30.0,9549,0,0,0,0,8,0.0,1,1,1,1,0.0,1494.0,1,1,1,1494,0,1494,1,2,1,6,1,1,1,1,2.0,481.0,1,1,1,1,1,270000,0,1,1,0,0,0,0,1,0,0,1,0,1,15,0,0,0,1,0,1,0,0,0,0,0,1,0,1057.0,0.0,0.0,437.0,0.0,0,2.0,3.0,0,1,0,0,1,246,1,0,1,0,0,0,0,0
535302070,60.0,10950,0,1,0,0,6,0.0,0,0,1,0,507.0,948.0,0,1,1,948,0,948,1,2,0,5,1,0,0,0,2.0,410.0,1,1,0,1,1,125000,0,1,1,0,1,0,1,0,0,1,0,0,1,58,1,0,0,1,0,1,0,0,0,1,0,0,1,0.0,441.0,0.0,0.0,0.0,0,1.0,1.0,0,1,0,1,0,48,1,0,0,1,0,0,0,0
906340110,79.0,10637,0,1,0,0,8,336.0,1,1,1,1,417.0,1705.0,1,1,1,1718,0,1718,2,3,1,7,1,1,1,1,3.0,826.0,1,1,1,1,1,297000,0,1,1,0,1,0,0,1,0,1,0,0,1,3,0,1,0,1,0,1,1,0,0,0,0,1,0,1288.0,0.0,0.0,0.0,0.0,0,3.0,3.0,1,1,1,0,0,252,1,1,0,0,0,1,0,0
535426150,80.0,9000,0,0,1,1,6,82.0,0,1,1,1,160.0,160.0,0,1,1,1142,0,1142,1,2,0,5,1,1,1,0,1.0,384.0,1,1,1,1,1,113500,0,1,1,0,1,0,1,0,0,1,0,0,1,52,1,0,1,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0,1,1,0,0,92,1,0,0,0,0,1,0,0
923225240,41.0,2665,0,1,0,0,5,0.0,0,0,1,0,36.0,757.0,1,1,1,925,550,1475,2,4,0,6,1,1,0,1,1.0,336.0,1,1,1,1,1,127000,1,0,0,0,1,0,0,0,0,0,1,1,0,33,1,0,0,1,1,0,0,0,0,0,0,1,0,0.0,548.0,0.0,0.0,173.0,1,2.0,2.0,0,1,1,0,0,130,1,1,1,0,0,0,0,0
527358140,105.0,11751,0,0,0,0,6,480.0,0,1,1,0,1139.0,1844.0,1,1,1,1844,0,1844,2,3,0,7,1,1,0,1,2.0,546.0,1,1,1,0,1,190000,0,1,1,0,1,0,0,1,0,1,0,0,1,33,1,0,1,1,0,1,0,0,0,0,1,0,1,0.0,0.0,705.0,0.0,0.0,0,2.0,2.0,0,1,1,0,0,122,1,1,0,0,0,0,0,0
534177210,80.0,9600,0,1,0,0,7,320.0,0,0,1,0,326.0,1242.0,0,1,1,1242,0,1242,1,3,0,6,1,1,0,1,2.0,528.0,1,1,1,1,1,175500,0,1,1,0,1,0,0,1,0,1,0,0,1,37,1,0,1,1,0,1,0,0,1,0,0,0,1,0.0,916.0,0.0,0.0,0.0,0,1.0,2.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
907135050,60.0,8428,0,0,0,0,5,0.0,0,1,1,0,570.0,990.0,1,1,1,990,0,990,1,3,0,5,1,0,0,0,1.0,384.0,1,1,1,1,1,146000,0,1,1,0,1,0,0,1,0,1,0,0,1,16,1,0,0,1,1,0,1,0,0,0,0,1,0,420.0,0.0,0.0,0.0,0.0,0,2.0,2.0,0,1,0,1,0,256,1,1,0,1,0,0,0,0
908102260,75.0,9937,0,1,0,0,5,0.0,1,0,1,0,136.0,1256.0,0,1,1,1256,0,1256,1,3,0,6,1,0,0,1,1.0,276.0,1,1,1,1,1,147500,0,1,1,0,1,0,1,0,0,1,0,0,1,45,1,0,0,1,1,0,0,0,1,0,0,0,1,0.0,0.0,830.0,290.0,0.0,0,2.0,3.0,0,1,0,0,1,804,1,1,0,0,1,0,0,0
528110050,107.0,13891,0,1,0,0,10,0.0,1,1,1,1,690.0,2076.0,1,1,1,2076,0,2076,2,2,1,7,1,1,1,1,3.0,850.0,1,1,1,1,1,465000,0,1,1,0,1,0,0,0,1,1,0,0,1,4,1,0,0,1,1,0,1,0,0,0,0,1,0,1386.0,0.0,0.0,0.0,0.0,0,3.0,4.0,1,1,0,0,1,445,1,1,1,0,0,0,0,1
923275040,69.05520046484602,9101,0,0,0,0,5,104.0,0,1,1,1,0.0,1097.0,1,1,1,1110,0,1110,1,1,1,4,1,1,0,1,2.0,602.0,1,1,1,1,1,165500,1,0,1,0,0,1,1,0,0,1,0,0,0,32,1,0,1,1,1,0,0,0,0,0,1,1,0,1097.0,0.0,0.0,0.0,0.0,0,2.0,2.0,0,1,0,0,1,333,1,1,0,0,0,1,0,0
902406090,81.0,12150,1,1,0,0,5,335.0,0,0,1,0,1050.0,1050.0,1,0,0,1050,745,1795,2,4,0,7,1,0,0,1,1.0,352.0,0,1,1,1,1,131500,1,0,0,0,1,0,1,0,0,1,0,0,0,56,1,0,1,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
905102170,70.0,11200,0,1,0,0,5,0.0,0,0,1,0,134.0,1040.0,1,1,1,1040,0,1040,1,3,0,5,1,0,0,0,1.0,384.0,1,1,1,1,1,129500,0,1,1,0,1,0,1,0,0,1,0,0,1,45,1,0,0,1,0,1,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,906.0,0,2.0,2.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
909281110,100.0,9670,0,0,1,1,8,40.0,0,0,0,0,398.0,608.0,0,1,1,983,890,1873,1,4,0,9,1,1,1,0,2.0,786.0,0,1,1,1,1,257076,1,0,1,0,1,0,0,1,0,1,0,1,0,75,0,1,0,1,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,210.0,0.0,1,1.0,2.0,0,1,0,0,1,207,1,1,0,0,1,0,0,0
909101140,60.0,10998,1,1,0,0,5,0.0,0,0,1,0,156.0,984.0,1,1,1,984,620,1604,2,3,0,6,0,0,0,0,2.0,660.0,1,1,1,1,1,117000,1,0,1,0,1,0,1,0,0,1,0,0,0,69,0,0,0,1,1,0,0,0,0,1,0,0,1,0.0,0.0,420.0,408.0,0.0,1,2.0,2.0,0,1,0,1,0,68,1,1,0,0,0,1,0,0
909275050,60.0,7200,0,1,1,1,7,0.0,0,1,1,0,776.0,776.0,0,1,1,851,651,1502,1,3,0,6,1,1,1,1,1.0,270.0,1,1,0,0,1,149000,1,0,1,0,1,0,0,1,0,1,0,1,0,79,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,2.0,0,1,1,0,0,112,1,0,0,0,1,0,0,0
534475100,80.0,9920,0,1,0,0,5,110.0,0,0,1,0,412.0,1056.0,0,1,1,1063,0,1063,1,3,0,6,1,0,0,1,1.0,280.0,1,1,1,0,1,128000,0,1,1,0,1,0,1,0,0,1,0,0,1,56,1,1,0,1,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,290.0,354.0,0,2.0,2.0,0,1,1,0,0,164,1,0,0,0,0,0,0,0
528188090,36.0,2448,0,1,0,0,7,106.0,1,1,1,0,764.0,764.0,1,1,1,764,862,1626,2,2,1,6,1,0,0,1,2.0,474.0,1,1,1,1,1,155000,1,0,1,0,1,0,0,0,1,0,0,1,0,7,0,1,0,1,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,2.0,3.0,0,1,1,0,0,27,1,0,0,0,1,0,0,0
533221080,69.05520046484602,2998,0,1,0,0,6,513.0,1,1,1,0,403.0,756.0,1,1,1,768,756,1524,2,2,1,4,1,0,0,0,2.0,440.0,1,1,1,1,1,166000,1,0,0,1,1,0,0,1,0,0,1,1,0,10,1,0,1,1,1,0,0,1,0,0,0,1,0,353.0,0.0,0.0,0.0,0.0,1,2.0,3.0,0,1,0,1,0,32,1,1,1,0,0,0,0,0
909250220,65.0,7804,0,1,0,0,4,0.0,0,0,1,0,500.0,1122.0,0,1,1,1328,653,1981,2,4,1,7,0,1,0,0,2.0,576.0,1,1,1,0,1,135000,1,0,1,0,1,0,1,0,0,1,0,0,0,82,0,0,0,1,1,0,0,0,0,0,1,0,0,0.0,0.0,622.0,0.0,0.0,1,3.0,3.0,0,1,0,1,0,475,1,1,0,0,0,1,0,0
527356020,80.0,16692,0,0,0,0,7,184.0,0,1,1,0,133.0,1392.0,0,1,1,1392,1392,2784,3,5,1,12,1,1,0,1,2.0,564.0,1,1,1,0,0,250000,0,1,1,0,1,0,0,1,0,1,0,1,0,32,1,0,1,1,1,0,0,0,0,0,1,0,1,0.0,0.0,790.0,469.0,0.0,1,4.0,5.0,0,1,1,0,0,552,1,1,1,0,0,0,0,0
923226250,21.0,1476,0,1,0,0,4,0.0,0,0,1,0,370.0,546.0,1,1,1,546,546,1092,1,3,0,5,1,0,0,0,0.0,0.0,0,0,1,1,1,76000,1,0,0,0,1,0,0,0,0,0,0,1,0,40,1,0,0,1,1,0,0,0,0,0,0,0,1,176.0,0.0,0.0,0.0,0.0,1,1.0,2.0,0,0,0,0,0,226,1,0,0,0,0,0,0,0
535305120,75.0,10170,0,1,0,0,6,522.0,0,0,1,0,216.0,216.0,0,1,1,1575,0,1575,1,2,1,5,1,1,1,1,2.0,400.0,1,1,1,1,1,155000,0,1,1,0,0,1,1,0,0,1,0,0,1,59,1,0,1,1,0,1,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
905106140,80.0,9364,0,1,0,0,6,143.0,0,0,1,0,292.0,663.0,0,1,1,663,689,1352,1,4,0,7,1,0,0,1,1.0,299.0,1,1,1,0,1,158000,0,1,1,0,0,1,1,0,0,1,0,1,0,41,1,1,0,1,1,0,0,0,1,0,0,0,1,0.0,371.0,0.0,0.0,0.0,1,1.0,2.0,0,1,0,0,1,415,1,0,0,0,0,0,0,0
533212020,24.0,2544,1,1,0,0,7,0.0,1,1,1,0,190.0,600.0,1,1,1,600,600,1200,2,2,1,4,1,0,0,0,2.0,480.0,1,1,1,1,1,149500,1,0,0,1,1,0,0,1,0,0,0,1,0,6,0,0,0,1,1,0,0,1,0,0,0,1,0,368.0,42.0,0.0,0.0,0.0,1,3.0,4.0,0,1,1,0,0,172,1,0,0,0,0,0,0,0
534479300,82.0,9888,0,1,0,0,5,0.0,0,0,1,0,450.0,936.0,0,1,0,936,0,936,1,2,0,5,1,0,0,1,1.0,240.0,1,1,1,0,1,121000,0,1,1,0,1,0,1,0,0,1,0,0,1,56,0,0,0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,486.0,0.0,0.0,0,1.0,1.0,0,1,0,1,0,160,1,0,1,0,0,0,0,0
535304170,68.0,7942,0,1,0,0,6,0.0,0,0,1,0,0.0,1040.0,0,1,0,1040,0,1040,1,3,0,6,1,0,0,1,1.0,293.0,1,1,1,0,1,136000,0,1,1,0,1,0,1,0,0,1,0,0,1,57,1,0,0,1,0,1,0,0,0,1,0,0,1,0.0,955.0,0.0,0.0,85.0,0,1.0,2.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
527107010,69.05520046484602,15038,0,0,0,0,6,0.0,0,1,1,0,778.0,916.0,0,1,1,916,720,1636,2,3,0,7,1,1,0,1,2.0,386.0,1,1,1,1,1,173000,0,1,1,0,0,1,0,1,0,1,0,1,0,14,1,0,0,1,1,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,138.0,1,2.0,3.0,0,1,0,0,1,252,1,1,0,0,1,0,0,0
